Municipio,ÓbtP/Ocor,Saneat,PibPerCapita,PrpBxRnd,RndMdDom,TxAnalf,PopEst
TIO HUGO,1,2723,80,29,644,5,3293
TIRADENTES DO SUL,0,6443,52,29,644,9,5265
TOROPI,0,2941,49,89,534,5,2599
TORRES,8,34438,52,85,832,5,42690
TRAMANDAI,27,41354,4,21,713,3,55160
TRAVESSEIRO,0,2314,73,68,777,4,2183
TRES ARROIOS,0,2848,37,54,1517,4,2645
TRES CACHOEIRAS,1,10184,30,16,691,6,11156
TRES COROAS,1,23666,46,49,787,5,24425
TRES DE MAIO,2,23577,58,79,870,3,25358
TRES FORQUILHAS,0,2903,29,45,485,15,2803
TRES PALMEIRAS,0,4373,9,46,832,11,4782
TRES PASSOS,3,23545,31,56,817,4,26149
TRINDADE DO SUL,0,5750,77,31,524,12,7652
TRIUNFO,3,25694,60,52,686,6,28294
TUCUNDUVA,0,5873,86,44,838,4,5675
TUNAS,1,4377,66,95,481,11,3755
TUPANCI DO SUL,0,1560,85,50,545,10,1388
TUPANCIRETA,2,22161,11,68,676,4,20538
TUPANDI,0,3921,24,20,807,1,5055
TUPARENDI,2,8519,82,70,764,5,8556
TURUCU,0,3503,68,37,554,7,3474
UBIRETAMA,1,2293,27,57,589,4,2017
UNIAO DA SERRA,0,1487,10,28,1068,3,1177
UNISTALDA,0,2447,76,76,386,9,2049
URUGUAIANA,32,124241,35,91,693,3,121672
VACARIA,31,60797,85,66,773,5,65881
VALE DO SOL,3,11045,92,24,552,5,10160
VALE REAL,2,5103,65,28,786,2,6131
VALE VERDE,1,3249,34,56,448,10,3208
VANINI,0,1980,87,52,779,6,2029
VENANCIO AIRES,11,65503,46,29,766,4,70611
VERA CRUZ,2,23915,59,28,780,4,27383
VERANOPOLIS,1,22705,88,8,1124,3,24480
VESPASIANO CORREA,0,1966,86,2,895,5,1833
VIADUTOS,1,5291,22,75,676,5,4866
VIAMAO,47,237792,18,81,694,3,233852
VICENTE DUTRA,3,5250,56,37,456,11,4783
VICTOR GRAEFF,0,2978,65,55,984,2,2820
VILA FLORES,0,3199,84,44,726,1,3673
VILA LANGARO,0,2143,72,85,848,5,2095
VILA MARIA,0,4210,7,90,1097,4,4487
VILA NOVA DO SUL,0,4217,3,81,433,7,3951
VISTA ALEGRE,0,2829,74,49,905,7,2707
VISTA ALEGRE DO PRATA,0,1538,36,24,1231,2,1597
VISTA GAUCHA,0,2755,86,13,966,6,2812
VITORIA DAS MISSOES,0,3447,89,97,475,10,3317
WESTFALIA,0,2790,98,32,1136,1,3174
XANGRI-LA,3,12389,18,42,791,3,16578
